Date,Open,High,Low,Close,Adj Close,Volume
7/8/2022,12814.09961,13019.12988,12766.79981,13015.23047,13015.23047,75193100
7/11/2022,12783.08984,12934.87012,12774.23047,12832.44043,12832.44043,55461200
7/12/2022,12751.29981,12905.48047,12655.05957,12905.48047,12905.48047,65198400
7/13/2022,12800.87012,12851.90039,12625.21973,12756.32031,12756.32031,63030200
7/14/2022,12759.29004,12788.00977,12434.29004,12519.66016,12519.66016,72613000
7/15/2022,12562.15039,12875.66992,12532.94043,12864.71973,12864.71973,77498400
7/18/2022,12935.04981,13062.23047,12913.69043,12959.80957,12959.80957,61274100
7/19/2022,12884.83008,13351.2002,12827.88965,13308.41016,13308.41016,73418300
7/20/2022,13356.66992,13399.40039,13129.12988,13281.98047,13281.98047,75183800
7/21/2022,13261.82031,13318.63965,13097.75,13246.63965,13246.63965,87886300
7/22/2022,13179.55957,13367.04004,13171.13965,13253.67969,13253.67969,76076400
7/25/2022,13183.24023,13337.05957,13151.86035,13210.32031,13210.32031,56561100
7/26/2022,13181.91992,13197.9502,13042.41016,13096.92969,13096.92969,58207700
7/27/2022,13158.63965,13204.58008,13089.95996,13166.37988,13166.37988,79894900
7/28/2022,13214.41016,13289.38965,13091.25977,13282.11035,13282.11035,74308800
7/29/2022,13353.28027,13515.03027,13340.58984,13484.04981,13484.04981,82631600
8/1/2022,13471.2002,13570.21973,13464.90039,13479.62988,13479.62988,57227900
8/2/2022,13419.19043,13484.54981,13335.38965,13449.2002,13449.2002,56681200
8/3/2022,13398.7002,13595.07031,13388.33984,13587.55957,13587.55957,63636000
8/4/2022,13629.7002,13792.87988,13628.57031,13662.67969,13662.67969,64719800
8/5/2022,13642.91016,13693.33984,13562.62012,13573.92969,13573.92969,62482000
8/8/2022,13703.37988,13745.58984,13604.54981,13687.69043,13687.69043,51639200
8/9/2022,13703.37988,13745.58984,13514.70996,13534.96973,13534.96973,51015000
8/10/2022,13482.62988,13715.55957,13455.7002,13700.92969,13700.92969,56490500
8/11/2022,13747.07031,13763.25977,13661.16992,13694.50977,13694.50977,54583800
8/12/2022,13709.83008,13813.04981,13705.01953,13795.84961,13795.84961,58498800
8/15/2022,13847.87988,13857.98047,13736,13816.61035,13816.61035,37843500
8/16/2022,13849.62012,13947.84961,13824.96973,13910.12012,13910.12012,50947100
8/17/2022,13928.12012,13930.57031,13610.44043,13626.70996,13626.70996,57254300
8/18/2022,13653.82031,13775.66016,13638.16016,13697.41016,13697.41016,47668000
8/19/2022,13591.24023,13660.33984,13525.69043,13544.51953,13544.51953,65997300
