Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,11981.17969,12057.73047,11928.87012,11980.80957,11980.80957,81806600.0
2019-06-06,11987.91992,12076.9502,11899.82031,11953.13965,11953.13965,89561100.0
2019-06-07,12003.91992,12096.61035,11987.16992,12045.37988,12045.37988,80549900.0
2019-06-11,12133.59961,12227.40039,12117.33984,12155.80957,12155.80957,95140700.0
2019-06-12,12093.98047,12132.28027,12068.11035,12115.67969,12115.67969,69957400.0
2019-06-13,12095.20996,12201.78027,12079.59961,12169.04981,12169.04981,69172100.0
2019-06-14,12124.36035,12136.65039,12049.75977,12096.40039,12096.40039,70037500.0
2019-06-17,12112.46973,12124.67969,12059.91992,12085.82031,12085.82031,84991300.0
2019-06-18,12069.37012,12358.0,11987.54981,12331.75,12331.75,153990400.0
2019-06-19,12321.42969,12346.7002,12291.19043,12308.53027,12308.53027,104190600.0
2019-06-20,12409.58008,12438.37012,12355.38965,12355.38965,12355.38965,95166000.0
2019-06-21,12351.98047,12425.2002,12316.41016,12339.91992,12339.91992,210689700.0
2019-06-24,12308.11035,12341.55957,12250.70996,12274.57031,12274.57031,89756300.0
2019-06-25,12226.87988,12284.57031,12213.41016,12228.44043,12228.44043,73907200.0
2019-06-26,12210.51953,12315.83984,12189.49023,12245.32031,12245.32031,87524700.0
2019-06-27,12308.25977,12334.57031,12209.33984,12271.03027,12271.03027,85035600.0
2019-06-28,12302.76953,12408.21973,12297.62988,12398.79981,12398.79981,99449300.0
2019-07-01,12616.33984,12619.67969,12519.29981,12521.37988,12521.37988,93740000.0
2019-07-02,12546.92969,12548.21973,12484.25977,12526.71973,12526.71973,68934500.0
2019-07-03,12548.29981,12631.80957,12545.79004,12616.24023,12616.24023,70392700.0
2019-07-04,12644.34961,12656.04981,12616.29004,12629.90039,12629.90039,54651300.0
2019-07-05,12632.12012,12632.12012,12522.11035,12568.53027,12568.53027,79900200.0
2019-07-08,12541.17969,12587.44043,12507.71973,12543.50977,12543.50977,91084400.0
2019-07-09,12436.96973,12477.58008,12364.16016,12436.54981,12436.54981,105796900.0
2019-07-10,12412.99023,12448.80957,12356.79981,12373.41016,12373.41016,80443400.0
2019-07-11,12401.01953,12417.92969,12307.33984,12332.12012,12332.12012,78192200.0
2019-07-12,12318.5,12354.87012,12304.98047,12323.32031,12323.32031,78381800.0
2019-07-15,12346.58984,12434.13965,12301.08008,12387.33984,12387.33984,70764100.0
2019-07-16,12392.19043,12465.19043,12366.96973,12430.96973,12430.96973,75136100.0
2019-07-17,12429.87012,12453.33008,12324.33008,12341.03027,12341.03027,72857800.0
2019-07-18,12194.33008,12296.29981,12172.58984,12227.84961,12227.84961,73275500.0
